subject;stimulus_identity
124871589;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
275096289;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
379601181;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
455981307;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
500854408;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
556411884;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
616538237;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
750356114;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
888776896;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546448;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546452;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546453;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546455;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546456;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546465;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546467;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546469;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546472;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546474;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546477;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546478;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546480;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546481;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546484;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546486;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546487;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546488;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546489;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546490;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546491;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546492;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546493;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546494;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546495;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546498;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546499;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546502;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546503;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546504;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546505;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546506;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546510;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546511;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546514;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546515;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546516;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546517;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546518;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546519;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546520;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546521;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546523;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546524;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546525;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546526;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546528;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546529;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546530;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546531;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546532;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546533;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546534;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546535;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546537;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546539;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546540;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546541;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546543;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546545;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546546;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546547;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546548;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546549;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546550;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546552;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546553;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546554;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546555;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546556;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546557;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546558;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546560;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546562;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546564;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546567;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546568;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546569;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546572;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546574;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546576;Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad
905546578;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546579;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546580;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546581;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546582;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546583;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546584;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546585;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546587;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546588;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546589;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546590;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
905546591;Outcome_1_Target_1_Bad_Outcome_2_Target_2_Good
