experiment,subject,age,gender,stimulus_identity_condition,extinction_condition,task_order,completeness_acquisition_testing,completeness_acquisition_training,completeness_extinction_testing,completeness_extinction_training,mean_correct_acquisition_training,mean_correct_acquisition_testing,mean_correct_extinction_testing,mean_correct_extinction_training,passed_performance_criterion_acquisition_training,passed_performance_criterion_acquisition_testing,passed_performance_criterion_extinction_testing,passed_performance_criterion_extinction_training,OEC_effect_native,OEC_effect_reverse_scored,IR_effect_native,IR_effect_reverse_scored,complete_iat_data,iat_block_order,passed_iat_performance,IAT_D2_native,IAT_D2_reverse_scored,intentions_response_1_3,intentions_response_2_4,demand_response,reactance_response_1,reactance_response_2,confidence_stim_1,confidence_stim_2,confidence_stim_3,confidence_stim_4,believability_response_1,believability_response_2
1,172,26,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,1,1,0.75,1,TRUE,TRUE,TRUE,TRUE,0.75,-0.75,0,-0,complete,learning_inconsistent_first,TRUE,-0.4529589075704433,-0.4529589075704433,I would try neither Brand,I would try Brand 4,Not Demand Compliant,yes,1,-1,0,-1,0,no,NA
1,163,32,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,NA,complete,complete,NA,NA,0.3,0.25,NA,NA,FALSE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,140,29,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,0.5,0.625,1,1,FALSE,FALSE,TRUE,TRUE,5,-5,0,-0,complete,learning_inconsistent_first,TRUE,0.32722839703908957,0.32722839703908957,I would try neither Brand,I would try neither Brand,Not Demand Compliant,no,NA,0,0,0,0,no,NA
1,106,37,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,0,-0,0,-0,complete,learning_inconsistent_first,TRUE,-0.18820337174838572,-0.18820337174838572,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,1,5,5,5,5,no,NA
1,131,22,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,2.75,-2.75,1.75,-1.75,complete,learning_consistent_first,TRUE,0.7475806087681155,0.7475806087681155,I would try neither Brand,I would try Brand 4,Not Demand Compliant,yes,3,0,0,-1,0,yes,5
1,139,34,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,0.4,0.375,0.75,1,FALSE,FALSE,TRUE,TRUE,1.25,-1.25,-1,1,complete,learning_consistent_first,TRUE,0.29258313365817323,0.29258313365817323,I would try Brand 1,I would try Brand 2,Not Demand Compliant,no,NA,4,4,4,4,yes,9
1,132,28,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,0.25,0.25,NA,NA,FALSE,FALSE,NA,NA,0.75,-0.75,-5.75,5.75,complete,learning_inconsistent_first,TRUE,0.06630174456303131,0.06630174456303131,I would try neither Brand,I would try Brand 4,Not Demand Compliant,yes,7,-3,-3,-3,4,yes,7
1,137,36,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,complete,complete,complete,complete,0.8,1,0.75,0.8,TRUE,TRUE,TRUE,TRUE,4.5,-4.5,0.75,-0.75,complete,learning_consistent_first,TRUE,0.07740903218540397,0.07740903218540397,I don't know,I don't know,Not Demand Compliant,yes,4,1,0,-3,-2,yes,5
1,108,29,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,4.5,-4.5,2.25,-2.25,complete,learning_inconsistent_first,TRUE,0.288748535209438,0.288748535209438,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,4,-1,-3,-2,-3,no,NA
1,99,31,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,1,1,NA,NA,TRUE,TRUE,NA,NA,0,-0,0.25,-0.25,complete,learning_consistent_first,TRUE,0.0565142334456865,0.0565142334456865,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,4,1,0,1,0,no,NA
1,107,36,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,0.4,0.25,0.625,1,FALSE,FALSE,FALSE,TRUE,3,-3,2.5,-2.5,complete,learning_consistent_first,TRUE,0.4891272120512219,0.4891272120512219,I would try Brand 1,I would try Brand 4,Not Demand Compliant,yes,5,-1,-1,-1,2,no,NA
1,100,22,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,0.95,1,NA,NA,TRUE,TRUE,NA,NA,2.25,-2.25,-1.75,1.75,complete,learning_inconsistent_first,TRUE,-0.03466849620721917,-0.03466849620721917,I would try Brand 1,I would try Brands 2 and 4,Not Demand Compliant,yes,3,2,2,2,3,no,NA
1,74,35,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,complete,complete,complete,complete,0.8,1,0.75,1,TRUE,TRUE,TRUE,TRUE,4.75,-4.75,5,-5,complete,learning_inconsistent_first,TRUE,0.390550568362869,0.390550568362869,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,5,2,2,-2,-2,no,NA
1,73,29,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,complete,complete,complete,complete,0.8,0.875,0.75,0.95,TRUE,TRUE,TRUE,TRUE,0,-0,0,-0,complete,learning_consistent_first,TRUE,-0.23618616903329237,-0.23618616903329237,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,1,5,5,5,5,yes,9
1,76,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,NA,complete,complete,NA,NA,1,0.5,NA,NA,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,75,34,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,1,1,0.75,1,TRUE,TRUE,TRUE,TRUE,3.75,-3.75,2.75,-2.75,complete,learning_consistent_first,TRUE,1.0037086241737283,1.0037086241737283,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,1,3,2,2,1,no,NA
1,36,37,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,0.8,0.75,NA,NA,TRUE,TRUE,NA,NA,0.25,-0.25,0,-0,complete,learning_inconsistent_first,TRUE,0.18102108313673443,0.18102108313673443,I don't know,I don't know,Not Demand Compliant,no,NA,1,3,3,3,no,NA
1,66,18,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,NA,NA,complete,NA,NA,0.85,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,33,25,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Explicits First,complete,complete,NA,NA,1,0.75,NA,NA,TRUE,TRUE,NA,NA,0,-0,0,-0,complete,learning_consistent_first,TRUE,-0.12336344284292851,-0.12336344284292851,I would try Brand 1,I would try Brand 4,Not Demand Compliant,yes,9,3,3,3,3,no,NA
1,33,25,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Explicits First,complete,complete,NA,NA,1,0.75,NA,NA,TRUE,TRUE,NA,NA,0,-0,0,-0,complete,learning_consistent_first,TRUE,-0.12336344284292851,-0.12336344284292851,I would try Brand 1,I would try Brand 4,Not Demand Compliant,yes,9,3,3,3,3,no,NA
1,43,36,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,0.45,0.375,0.625,0.95,FALSE,FALSE,FALSE,TRUE,0.75,-0.75,0.25,-0.25,complete,learning_consistent_first,TRUE,-0.012445145097941035,-0.012445145097941035,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,5,1,1,1,1,no,NA
1,35,36,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,0.4,0.125,NA,NA,FALSE,FALSE,NA,NA,-0.5,0.5,-4,4,complete,learning_consistent_first,TRUE,-0.19618768469321624,-0.19618768469321624,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,2,0,-3,-4,0,no,NA
1,12,37,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,1,1,1,1,TRUE,TRUE,TRUE,TRUE,6,-6,5.75,-5.75,complete,learning_inconsistent_first,TRUE,0.17721158089401412,0.17721158089401412,I would try Brand 1,I would try Brands 2 and 4,Not Demand Compliant,yes,3,3,3,-3,-3,no,NA
1,11,38,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,1,1,0.75,1,TRUE,TRUE,TRUE,TRUE,3,-3,4,-4,complete,learning_consistent_first,TRUE,0.7129211084989984,0.7129211084989984,I would try Brand 3,I would try Brand 2,Not Demand Compliant,yes,2,1,2,-1,0,no,NA
1,4,29,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,0.75,0.875,NA,NA,TRUE,TRUE,NA,NA,2.5,-2.5,0,-0,complete,learning_inconsistent_first,TRUE,0.38414218931942384,0.38414218931942384,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,0,5,0,5,no,NA
1,9,31,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,complete,complete,complete,complete,0.95,0.875,0.75,1,TRUE,TRUE,TRUE,TRUE,7,-7,7,-7,complete,learning_consistent_first,TRUE,0.7676166428253651,0.7676166428253651,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,6,4,4,3,4,yes,7
1,3,23,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,partial,NA,NA,0.4444444444444444,0.375,NA,NA,FALSE,FALSE,NA,NA,0,-0,0.5,-0.5,partial,learning_consistent_first,FALSE,NA,NA,I would try Brands 1 and 3,I would try Brand 4,Not Demand Compliant,yes,3,1,1,1,1,no,NA
1,2,23,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,NA,NA,partial,NA,NA,0.45,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,175,30,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Implicits First,complete,complete,complete,complete,1,0.75,0.75,1,TRUE,TRUE,TRUE,TRUE,0,-0,0,-0,complete,learning_consistent_first,TRUE,0.1638608805921234,0.1638608805921234,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,yes,3,5,5,5,5,no,NA
1,174,32,F,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,complete,complete,complete,complete,0.25,0.25,0.5,0.3,FALSE,FALSE,FALSE,FALSE,0,-0,0.75,-0.75,complete,learning_inconsistent_first,TRUE,0.030894522673073736,0.030894522673073736,I would try Brand 3,I would try Brand 4,Demand Compliant,yes,6,0,1,2,0,no,NA
1,167,35,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition only,Implicits First,complete,complete,NA,NA,1,0.875,NA,NA,TRUE,TRUE,NA,NA,4,-4,0.5,-0.5,complete,learning_consistent_first,TRUE,0.512830185648246,0.512830185648246,I would try Brand 1,I would try Brand 4,Not Demand Compliant,no,NA,3,3,3,3,no,NA
1,142,27,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,complete,complete,complete,complete,1,0.875,0.75,0.85,TRUE,TRUE,TRUE,TRUE,7,-7,6.5,-6.5,complete,learning_inconsistent_first,TRUE,0.11539781514716717,0.11539781514716717,I would try Brand 1,I would try Brand 2,Not Demand Compliant,yes,3,5,5,5,4,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,5.25,-5.25,5,-5,complete,learning_consistent_first,TRUE,-0.045685378771310986,-0.045685378771310986,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,4,2,1,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,5.25,-5.25,5,-5,complete,learning_consistent_first,TRUE,-0.045685378771310986,-0.045685378771310986,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,3,3,4,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,5.25,-5.25,5,-5,complete,learning_consistent_first,TRUE,-0.045685378771310986,-0.045685378771310986,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,4,2,1,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,5.25,-5.25,5,-5,complete,learning_consistent_first,TRUE,-0.045685378771310986,-0.045685378771310986,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,3,3,4,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,5.25,-5.25,5,-5,complete,learning_consistent_first,TRUE,-0.045685378771310986,-0.045685378771310986,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,4,2,1,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,5.25,-5.25,5,-5,complete,learning_consistent_first,TRUE,-0.045685378771310986,-0.045685378771310986,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,3,3,4,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,5.25,-5.25,5,-5,complete,learning_consistent_first,TRUE,-0.045685378771310986,-0.045685378771310986,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,4,2,1,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,5.25,-5.25,5,-5,complete,learning_consistent_first,TRUE,-0.045685378771310986,-0.045685378771310986,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,3,3,4,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,3.75,-3.75,4.75,-4.75,complete,learning_consistent_first,TRUE,-0.045685378771310986,-0.045685378771310986,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,4,2,1,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,3.75,-3.75,4.75,-4.75,complete,learning_consistent_first,TRUE,-0.045685378771310986,-0.045685378771310986,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,3,3,4,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,3.75,-3.75,4.75,-4.75,complete,learning_consistent_first,TRUE,-0.045685378771310986,-0.045685378771310986,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,4,2,1,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,3.75,-3.75,4.75,-4.75,complete,learning_consistent_first,TRUE,-0.045685378771310986,-0.045685378771310986,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,3,3,4,3,no,NA
1,141,24,M,Outcome_1_Target_1_Good_Outcome_2_Target_2_Bad,acquisition and extinction,Explicits First,excess,excess,excess,excess,0.95,0.875,0.9375,0.975,TRUE,TRUE,TRUE,TRUE,3.75,-3.75,4.75,-4.75,complete,learning_consistent_first,TRUE,-0.045685378771310986,-0.045685378771310986,I would try Brands 1 and 3,I would try Brands 2 and 4,Not Demand Compliant,no,NA,4,2,1,3,no,NA
